Key,Description,Standard,EN
SAY.flowchart_main.6.,,2017年{wc}7月9日{wc}01：23AM,July 9th 2017 {wc}01：23am
SAY.flowchart_main.58.王浩,,天啊，已经连续四个晚上失眠了。{wc}\n前段时间的疯狂加班，再加上这倒霉的失眠简直要让我崩溃。{wc}\n难道这就是我一直以来所追求的梦想么？！,"My God, this is the forth night that I could not sleep. {wc}Too many over time working plus the lose sleep almost drive me crazy! {wc} So, is this what I dreaming for?!"
SAY.flowchart_main.155.王浩,,{shocked}啊啊啊啊！不行！{wc}\n我再也不要吃那些倒霉的安眠药，然后欺骗身体去睡觉了。,{shocked}Ahhhhh!NO WAY!{wc} I can't keep swallow those pills and just cheat my body to sleep any more!
SAY.flowchart_main.157.王浩,,我得想办法彻底改变这循规蹈矩的生活！{wc}\n想想自己，每天从一睁眼到闭眼，{wc}\n就是把生命消耗在这一切无谓的“工作”{wc}\n还有那些低俗无趣令人作呕的所谓娱乐方式。{wc}\n仿佛活在一群衣冠楚楚的禽兽圈里，拼命的梦想着活得像个人。,"I need to find a way to get rid of this unpredictable life!{wc} Just think about my life,{wc} All those so call entertainments。{wc} Like we are all animals, keep trying to pretend to be a human."
SAY.flowchart_main.159.王浩,,算了，还是回到现实吧。{wc}\n得想个办法先解决失眠对我身心造成的创伤。{wc}\n或许。。。出去透透新鲜空气也许会好些。,"Forget it, Let back to reality{wc} Got to find a way to fix my sick body from the lag of sleep。{wc} Maybe I should go out and have some air."
SAY.flowchart_main.171.王浩,,{shocked}尼玛，居然忘带火机了！{wc}逼我戒烟的节奏么？,{shocked}And then forgot to bring my light{wc} Are you trying to let me quit smoking?!
SAY.flowchart_main.169.王浩,,算了，算了，不抽也罢。{wc}几天没睡了，根本不需要抽烟，{wc}人特么也是病态的精神着的！,What ever! Who need a smoke?{wc}You know what? I don't need it to make me sober{wc}Because I am fucking sober right now.
SAY.flowchart_main.173.王浩,,话说这和时间的街道景色还是头一回看到！,"To be honest, this is the first time to see the street at this time.{wc} which is really not bad."
SAY.flowchart_main.179.王浩,,奇怪的是街上一个人也没有！,"Strange thing is it is like a ghost town, {wc}no one on the street at all!"
SAY.flowchart_main.177.王浩,,也对，都这么晚了，傻子才不回家睡觉。{wc}唉，感觉自己像个异类。,"Ehhh, I forgot it is 1am in the morning.{wc} only fools like me will be on street at this time."
SAY.flowchart_main.175.王浩,,干点什么去好呢？,"Well, what should I do now?{wc}Home to office and office to home."
SAY.flowchart_main.183.王浩,, 一时间不知道做点什么好，也真的被自己打败了。,I suddenly realized  I have a blank brain here. IoI
SAY.flowchart_main.181.王浩,,附近的那家酒吧好像每晚都很热闹{wc}每次加班很晚回来的时候都会路过，不过从来没进去过。\n,Wait! The bar near by seems pretty noisy every night{wc}I alway went by when I finished OT to go home.{wc}but I never step in. 
SAY.flowchart_main.187.王浩,,要不今晚去那里看看？{wc}说不定来场艳遇什么的！\n,Why not give a try tonight!?{wc} What if there are some chicks can hanging with?! 
SAY.flowchart_main.185.王浩,,算了，我还是别做美梦了，{wc}去那喝两杯或许有助于睡眠。\n\n,I know I am dreaming.{wc}Or at least some alcohol can help me to sleep.
SAY.flowchart_main.123.王浩,,奇怪，今晚的酒吧里除了酒保，其他一个人都没有！{wc}难不成已经关门打样了么？\n,"WOW, creepy! How comes no one in the bar except the bartender?!{wc} Closed?"
SAY.flowchart_main.191.王浩,,我记得平时听见这里都很热闹的样。\n,I remember it should pretty loud and crowded every night. 
SAY.flowchart_main.189.王浩,,我得问问吧台的伙计，\n,"I should ask the bartender, see what's happened. "
SAY.flowchart_main.193.王浩,,等等，怎么问才比较合适呢？{wc}要不要透露我是第一次来呢？{wc}那样会不会有些尴尬。\n,"Wait,how to ask is better?{wc} Do I need to tell him I am the newbie?{wc} maybe it is too occurred?"
MENU.flowchart_main.194,,中文,
MENU.flowchart_main.201,,English,
SAY.flowchart_main.127.王浩,,{t}我该怎么问呢？{/t},{t}What should I ask?{/t}
