Key,Description,Standard
SAY.flowchart_Game_Chapter_01.58.王浩,,大家好！{wc}我叫王浩，{wc}普普通通的广告公司设计师。{wc}24K纯屌丝一枚。
SAY.flowchart_Game_Chapter_01.1022.王浩,,昨天，在我身上发生了不可思议的事情。{wc}彻底改变了我的三观。
SAY.flowchart_Game_Chapter_01.1024.王浩,,我到现在都怀疑所经历的事情是真实还是在做梦。{wc}只好在这里跟陌生的你倾诉一下我的离奇经历。{wc}事情是这样的........
SAY.flowchart_Game_Chapter_01.6.,,2017年{wc}7月9日{wc}01：23AM
SAY.flowchart_Game_Chapter_01.390.王浩,,天啊，已经连续四个晚上失眠了。{wc}前段时间的疯狂加班，再加上这倒霉的失眠简直要让我崩溃。{wc}难道这就是我一直以来所追求的梦想么？
SAY.flowchart_Game_Chapter_01.155.王浩,,啊啊啊啊！不行！{wc}\n我再也不要吃那些倒霉的安眠药，然后欺骗身体去睡觉了。
SAY.flowchart_Game_Chapter_01.157.王浩,,我得想办法彻底改变这循规蹈矩的生活！{wc}\n想想自己，每天从一睁眼到闭眼，{wc}\n就是把生命消耗在这一切无谓的“工作”{wc}\n还有那些低俗无趣令人作呕的所谓娱乐方式。{wc}\n仿佛活在一群衣冠楚楚的禽兽圈里，拼命的梦想着活得像个人。
SAY.flowchart_Game_Chapter_01.159.王浩,,算了，还是回到现实吧。{wc}\n得想个办法先解决失眠对我身心造成的创伤。{wc}\n或许。。。出去透透新鲜空气也许会好些。
SAY.flowchart_Game_Chapter_01.171.王浩,,尼玛，居然忘带火机了！{shocked}{wc}逼我戒烟的节奏么？
SAY.flowchart_Game_Chapter_01.169.王浩,,算了，算了，不抽也罢。{wc}几天没睡了，根本不需要抽烟，{wc}人特么也是病态的精神着的！
SAY.flowchart_Game_Chapter_01.173.王浩,,话说这和时间的街道景色还是头一回看到！
SAY.flowchart_Game_Chapter_01.179.王浩,,奇怪的是街上一个人也没有！
SAY.flowchart_Game_Chapter_01.177.王浩,,也对，都这么晚了，傻子才不回家睡觉。{wc}唉，感觉自己像个异类。
SAY.flowchart_Game_Chapter_01.175.王浩,,干点什么去好呢？
SAY.flowchart_Game_Chapter_01.183.王浩,,一时间不知道做点什么好，也真的被自己打败了。
