Key,Description,Standard
SAY.flowchart_game_story.58.王浩,,大家好！{wc}我叫王浩，{wc}普普通通的广告公司设计师。{wc}24K纯屌丝一枚。
SAY.flowchart_game_story.1022.王浩,,昨天，在我身上发生了不可思议的事情。{wc}彻底改变了我的三观。
SAY.flowchart_game_story.1024.王浩,,我到现在都怀疑所经历的事情是真实还是在做梦。{wc}只好在这里跟陌生的你倾诉一下我的离奇经历。{wc}事情是这样的.
SAY.flowchart_game_story.6.,,2017年{wc}7月9日{wc}01：23AM
SAY.flowchart_game_story.390.王浩,,天啊，已经连续四个晚上失眠了。{wc}前段时间的疯狂加班，再加上这倒霉的失眠简直要让我崩溃。{wc}难道这就是我一直以来所追求的梦想么？
SAY.flowchart_game_story.155.王浩,,啊啊啊啊！不行！{wc}\n我再也不要吃那些倒霉的安眠药，然后欺骗身体去睡觉了。
SAY.flowchart_game_story.157.王浩,,我得想办法彻底改变这循规蹈矩的生活！{wc}\n想想自己，每天从一睁眼到闭眼，{wc}\n就是把生命消耗在这一切无谓的“工作”上面{wc}\n还有那些低俗无趣令人作呕的所谓娱乐方式。{wc}\n仿佛活在一群衣冠楚楚的禽兽圈里，拼命的梦想着活得像个人。
SAY.flowchart_game_story.159.王浩,,算了，算了，还是回到现实吧。{wc}\n得想个办法先解决失眠对我身心造成的创伤。{wc}\n或许。。。出去透透新鲜空气也许会好些。
MENU.flowchart_game_story.128,,这里关门了么？
MENU.flowchart_game_story.129,,今晚怎么这么冷清？
SAY.flowchart_game_story.134.酒吧侍者,,您好，请问我能为您做点什么？
SAY.flowchart_game_story.132.王浩,,{confused}嗨，你好，请问这里打样了么？
SAY.flowchart_game_story.1093.酒吧侍者,,{anwser}没有，正在营业中，先生。{wc}你想点点什么么？
SAY.flowchart_game_story.165.王浩,,哦……那个，那就给我来杯啤酒吧？{wc}第一次来这里，也不知道有什么不错的酒。
SAY.flowchart_game_story.166.酒吧侍者,,啊哈，好像确实之前不曾看到你。{wc}不管什么原因把你带到这里，你一定会爱上这里的。
SAY.flowchart_game_story.220.王浩,,是么！？{wc}呵呵，希望真的如你所说。
SAY.flowchart_game_story.221.酒吧侍者,,一般第一次来日落酒吧的人，{wc}我都会推荐你尝尝我们特制的鸡尾酒。{wc}你要尝试一下吗？
MENU.flowchart_game_story.222,,拒绝鸡尾酒推荐
MENU.flowchart_game_story.224,,接受鸡尾酒推荐
SAY.flowchart_game_story.1094.酒吧侍者,,您好，请问我能为您做点什么？
SAY.flowchart_game_story.138.王浩,,嘿，伙计!{wc}今晚这里怎么这么冷清？{wc}人都去哪里了？{wc}平时好像挺热闹的啊？！，{wc}今天是有什么的情况么？
SAY.flowchart_game_story.139.酒吧侍者,,人多人少有那么重要么？{wc}难道每一个人来落日酒吧，{wc}不就是热爱它与世隔绝的体验，{wc}体验逃离真实，醍醐灌顶的感觉么？
SAY.flowchart_game_story.161.王浩,,{shocked}我擦，这伙计眼神呆滞，{wc}说出的话怎么有种背后发凉的感觉。{wc}这里不会是家黑店吧……
MENU.flowchart_game_story.239,,质问他什么意思
MENU.flowchart_game_story.242,,先顺着侍者的话聊聊
SAY.flowchart_game_story.284.王浩,,是嘛！？不妨说来听听。
SAY.flowchart_game_story.418.酒吧侍者,,呵呵，好的。{wc}让我想想，整理一下思绪。
SAY.flowchart_game_story.419.王浩,,行，你慢慢想。{wc}我有一晚上时间听你的故事。
SAY.flowchart_game_story.228.王浩,,算了，{wc}还是给我来杯扎啤吧。
SAY.flowchart_game_story.229.酒吧侍者,,{anwser}好的先生，这是您的扎啤。{wc}如果您改变主意了，鸡尾酒随时为您准备。
SAY.flowchart_game_story.234.王浩,,好的谢谢，如果我想要了会告诉你。
